Date,TradeVolume,TradeValue,Open,High,Low,Close,Change,Transaction,MA_5,MA_20,MA_60,MA_120,EMA_12,EMA_26,DIF,DEM,OSC,BIAS_5,BIAS_20,BIAS_60,BIAS_120
2020-04-15,58561434,16819851630,287.0,288.5,286.0,287.5,2.5,25696,282.7,273.425,306.18333333333334,0.0,280.6725331555035,284.2643143581117,-3.5917812026081606,-6.826535298803393,3.234754096195233,0.016979129819596785,0.05147663893206542,-0.06102008600511677,0.0
2020-04-16,48257280,13813721932,283.0,288.5,283.0,286.5,-1.0,19084,283.4,274.35,305.3333333333333,0.0,281.5690811120487,284.43095780132023,-2.8618766892715257,-6.0336032583488555,3.1717265690773297,0.010938602681722028,0.04428649535265164,-0.06168122270742352,0.0
2020-04-17,117447201,35719172728,303.5,308.5,300.5,306.5,20.0,60873,288.8,276.675,304.78333333333336,0.0,285.4046599315746,286.07517642192687,-0.67051649035227,-4.960985560023501,4.290469069671231,0.061288088642659236,0.10779795789283451,0.005632416470716815,0.0
2020-04-20,44586860,13605802989,308.0,309.0,302.5,304.0,-2.5,21791,293.9,279.475,304.15833333333336,0.0,288.265514827079,287.4100635776753,0.8554512494036999,-3.7976978990450694,4.653149148448769,0.03436543041850978,0.08775382413453789,-0.0005205622071838456,0.0
2020-04-21,61949357,18417786171,300.5,301.5,293.5,295.0,-9.0,39043,295.9,280.725,303.30833333333334,0.0,289.3015996878526,287.97507245230383,1.326527235548781,-2.772852661327861,4.099379896876641,-0.0030415680973301024,0.05085047644491932,-0.02739236750281618,0.0
2020-04-22,43568580,12746170556,294.5,295.0,290.5,294.0,-1.0,25176,297.2,282.675,302.5416666666667,0.0,290.024436537554,288.4234142907313,1.6010222468227084,-1.8980775357531015,3.4990997825758097,-0.010767160161507364,0.04006367736800208,-0.028233025754028432,0.0
2020-04-23,39977278,11864085990,300.0,300.0,294.0,295.5,1.5,18541,299.0,284.075,301.89166666666665,0.0,290.8668368650794,288.9498355264293,1.9170013386500955,-1.135061660428774,3.0520629990788697,-0.011705685618729096,0.04021825222212448,-0.021172053992878193,0.0
2020-04-24,26465090,7799075756,295.5,297.0,294.0,294.0,-1.5,13661,296.5,284.925,301.2416666666667,0.0,291.3488648429699,289.3253946656808,2.0234701772890844,-0.5033552263587501,2.5268254036478344,-0.008431703204047217,0.03185048697025529,-0.024039392514315774,0.0
2020-04-27,38493406,11461378300,298.0,298.5,296.0,298.0,4.0,15916,295.3,285.825,300.65833333333336,0.0,292.3721215791073,289.97029988817127,2.4018216909360035,0.07768020605233891,2.324141484883665,0.00914324415848286,0.04259599405230478,-0.008841708473073067,0.0
2020-04-28,37621165,11134919970,298.5,298.5,294.5,296.5,-1.5,18214,295.6,287.0,300.325,0.0,293.00718251455845,290.4556131679432,2.5515693466152243,0.5724580675128776,1.9791112791023466,0.003044654939106824,0.033101045296167246,-0.012736202447348669,0.0
2020-04-29,46253301,13861245296,299.0,301.5,298.0,299.0,2.5,21633,296.6,288.575,299.975,0.0,293.9291577728799,291.09050731502225,2.838650457857625,1.0256965700203986,1.8129538878372264,0.00809170600134854,0.03612579052239456,-0.0032502708559047342,0.0
