,Date,Open,High,Low,close,MA_5,MA_20,MA_60,MA_120
415,2020-09-18,12858.6,12927.81,12841.09,12875.62,12871.718,12737.7405,12517.660333333333,11676.293666666666
416,2020-09-21,12874.61,12952.31,12795.09,12795.12,12873.178,12745.140000000001,12538.535333333333,11702.674416666667
417,2020-09-22,12786.91,12786.91,12632.74,12645.51,12833.15,12739.503,12555.6065,11727.153166666665
418,2020-09-23,12656.3,12700.89,12548.07,12583.88,12754.573999999999,12727.0325,12570.280833333332,11751.488583333334
419,2020-09-24,12487.48,12487.48,12264.38,12264.38,12632.902,12700.386,12577.934833333335,11771.868916666666
420,2020-09-25,12312.94,12385.81,12149.81,12232.91,12504.359999999999,12675.589,12583.330666666667,11790.506583333334
421,2020-09-28,12282.36,12462.76,12282.36,12462.76,12437.887999999999,12669.1545,12589.098333333332,11809.884
422,2020-09-29,12488.1,12571.34,12429.72,12467.73,12402.332,12657.377,12595.344333333334,11829.453166666668
423,2020-09-30,12483.65,12568.68,12466.58,12515.61,12388.678,12648.1825,12601.101333333334,11849.103166666666
424,2020-10-05,12567.88,12637.62,12519.12,12548.28,12445.458,12637.698,12607.027833333332,11869.511999999999
425,2020-10-06,12644.09,12706.39,12644.09,12704.23,12539.722,12641.011999999999,12617.537000000002,11889.27275
426,2020-10-07,12667.51,12774.36,12619.81,12746.37,12596.444,12648.2605,12626.4505,11908.432416666668
427,2020-10-08,12832.54,12887.19,12818.01,12887.19,12680.336000000001,12659.442,12637.753499999999,11929.363333333335
428,2020-10-12,12959.15,12997.79,12898.89,12955.91,12768.396,12676.8085,12650.3045,11949.020583333333
429,2020-10-13,12988.44,12994.66,12857.1,12947.13,12848.166000000001,12689.5775,12663.461000000001,11968.690750000002
430,2020-10-14,12927.09,12960.0,12895.79,12919.31,12891.182,12701.7455,12675.756833333331,11990.614833333333
431,2020-10-15,12892.29,12909.11,12786.26,12827.82,12907.472,12703.7455,12686.644833333334,12011.615499999998
432,2020-10-16,12814.16,12896.3,12750.37,12750.37,12880.107999999998,12698.9815,12692.525166666666,12031.481
433,2020-10-19,12803.32,12911.41,12803.32,12908.34,12870.594000000001,12695.5605,12699.776333333333,12052.822500000002
434,2020-10-20,12889.99,12917.75,12862.37,12862.37,12853.642,12695.042,12707.265166666668,12071.948333333334
435,2020-10-21,12889.88,12942.12,12846.42,12877.25,12845.23,12695.1235,12716.818666666666,12090.791583333334
436,2020-10-22,12854.97,12917.03,12827.4,12917.03,12863.072,12701.219000000001,12722.297499999999,12108.665
437,2020-10-23,12945.12,12963.26,12875.23,12898.82,12892.762,12713.8845,12727.499,12124.554
438,2020-10-26,12923.55,12971.58,12894.18,12909.03,12892.9,12730.142,12733.633333333333,12142.791916666667
439,2020-10-27,12867.77,12884.32,12821.07,12875.01,12895.428,12760.6735,12736.168166666666,12160.295250000001
440,2020-10-28,12853.76,12879.98,12761.33,12793.75,12878.728,12788.7155,12738.317333333334,12177.118333333336
441,2020-10-29,12687.64,12699.82,12583.37,12662.91,12827.904,12798.723,12740.815333333334,12192.284916666666
442,2020-10-30,12651.35,12656.29,12546.34,12546.34,12757.408,12802.6535,12738.089,12205.992583333333
443,2020-11-02,12565.32,12594.34,12480.66,12591.31,12693.864,12806.4385,12734.572500000002,12219.143
444,2020-11-03,12641.28,12760.14,12641.28,12736.01,12666.064,12815.825,12731.614333333333,12234.614166666666
445,2020-11-04,12766.86,12885.28,12736.02,12867.9,12680.894,12824.0085,12732.264833333333,12250.694416666667
446,2020-11-05,12878.01,12918.8,12840.4,12918.8,12732.071999999998,12832.63,12732.678166666668,12268.510416666666
447,2020-11-06,12952.49,12999.16,12927.3,12973.53,12817.51,12836.947,12735.9005,12286.498833333333
448,2020-11-09,13053.98,13149.9,13048.67,13127.47,12924.742,12845.525,12743.519166666667,12306.38983333333
449,2020-11-10,13090.65,13142.22,13022.92,13081.72,12993.884,12852.2545,12748.829,12324.9005
450,2020-11-11,13067.04,13262.19,13067.04,13262.19,13072.742,12869.3985,12756.607833333335,12344.520416666666
451,2020-11-12,13324.86,13324.86,13193.74,13221.78,13133.338,12889.0965,12761.035666666667,12362.966000000002
452,2020-11-13,13221.8,13273.33,13170.12,13273.33,13193.298,12915.2445,12767.722166666668,12383.484166666665
453,2020-11-16,13356.74,13551.83,13356.74,13551.83,13278.170000000002,12947.419,12780.608666666667,12405.822916666666
454,2020-11-17,13723.77,13780.12,13593.01,13593.01,13380.428,12983.951000000001,12801.114833333333,12427.454583333334
